id,url,reposted,poster,reposts,comments,creat_at,text
'3552458272342245,http://api.t.sina.com.cn/1826803091/statuses/3552458272342245,数据挖掘_PHP,wingzero1984,0,0,2013-03-05 11:51:56, //@中国云计算论坛：分享：Hadoop视频地址： http://t.cn/zY8JjWq //@中国云计算论坛: 谢谢！好东西，不容错过！@云创存储 @专注云计算
'3552457466429279,http://api.t.sina.com.cn/2486556181/statuses/3552457466429279,数据挖掘_PHP,熊猫烧香_He,0,0,2013-03-05 11:48:44,@手机用户2831984961 //@笨嘴coder: @Im赵cj //@机器学习DeepLearning: 想学hadoop的看过来 //@童小军_HD: Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552457000673467,http://api.t.sina.com.cn/2709337683/statuses/3552457000673467,数据挖掘_PHP,rebooo,0,0,2013-03-05 11:46:53,//@vinW: 推荐收藏 //@童小军_HD: Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552456614764849,http://api.t.sina.com.cn/1959227617/statuses/3552456614764849,数据挖掘_PHP,奔跑的鸟儿2011,0,0,2013-03-05 11:45:19,//@数据挖掘_PHP: 功德无量，谢！//@Cloga在路上: //@卢二_UX:这个不支持，更待何时。[good]//@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552456418422959,http://api.t.sina.com.cn/2084695745/statuses/3552456418422959,数据挖掘_PHP,小索菲亚,1,2,2013-03-05 11:44:32, @MEL卢 //@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552455147603705,http://api.t.sina.com.cn/1641696211/statuses/3552455147603705,数据挖掘_PHP,魏塘_cuj,0,0,2013-03-05 11:39:30,好东西，分享万岁！ //@肖镜辉_小肖://@李明辉-baidu: //@ITNLP: //@徐君_: //@任勇_博士僧:m //@算文解字://@童小军_HD: Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552449442919169,http://api.t.sina.com.cn/2713654850/statuses/3552449442919169,数据挖掘_PHP,黑妞的白妞,0,0,2013-03-05 11:16:51,很好，很强大！//@中国云计算论坛: 分享：Hadoop视频地址： http://t.cn/zY8JjWq //@中国云计算论坛: 谢谢！好东西，不容错过！@云创存储 @专注云计算
'3552448776408332,http://api.t.sina.com.cn/2744936464/statuses/3552448776408332,数据挖掘_PHP,Bill2012大本营,0,0,2013-03-05 11:14:12, //@大数据分析与挖掘: #hadoop#分享hadoop视频学习资料。//@肖镜辉_小肖: //@李明辉-baidu: //@ITNLP: //@徐君_: //@任勇_博士僧:m //@算文解字://@童小军_HD: Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552448675168243,http://api.t.sina.com.cn/1645701363/statuses/3552448675168243,数据挖掘_PHP,Lina_Bao,0,1,2013-03-05 11:13:47,//@中国云计算论坛: 谢谢！好东西，不容错过！@云创存储 @专注云计算
'3552448381414090,http://api.t.sina.com.cn/1657455435/statuses/3552448381414090,数据挖掘_PHP,哈里王HW,0,0,2013-03-05 11:12:38,这个不错， @孙阿伦 我有空研究研究，不懂问你哈//@挠头蛇: 好东西，赞！@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552446817184761,http://api.t.sina.com.cn/2647161441/statuses/3552446817184761,数据挖掘_PHP,飘飘七七酱,0,0,2013-03-05 11:06:25,//@机器学习DeepLearning: 想学hadoop的看过来 //@童小军_HD: Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552446619649805,http://api.t.sina.com.cn/1883910100/statuses/3552446619649805,数据挖掘_PHP,罗远飞CUG,0,0,2013-03-05 11:05:37,恩好啊//@任勇_博士僧: m //@算文解字://@童小军_HD: Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552445239983241,http://api.t.sina.com.cn/1908599781/statuses/3552445239983241,数据挖掘_PHP,NNoodles,0,0,2013-03-05 11:00:09,//@机器学习DeepLearning: 想学hadoop的看过来 //@童小军_HD: Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552442429699231,http://api.t.sina.com.cn/2722489863/statuses/3552442429699231,数据挖掘_PHP,商业智能BI信徒,0,0,2013-03-05 10:48:58,//@数据挖掘_PHP: 功德无量，谢！//@Cloga在路上: //@卢二_UX:这个不支持，更待何时。[good]//@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552440428842962,http://api.t.sina.com.cn/1299976001/statuses/3552440428842962,数据挖掘_PHP,睡友韶仪轰曾曰,0,0,2013-03-05 10:41:02,//@小眼怪杰佬://@机器学习DeepLearning: 想学hadoop的看过来 //@童小军_HD: Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552440399993488,http://api.t.sina.com.cn/1213018240/statuses/3552440399993488,数据挖掘_PHP,清_浊的新家,0,0,2013-03-05 10:40:55, //@Happy3MSG:感谢//@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552440291233464,http://api.t.sina.com.cn/3062496252/statuses/3552440291233464,数据挖掘_PHP,大数据分析与挖掘,1,0,2013-03-05 10:40:28,#hadoop#分享hadoop视频学习资料。//@肖镜辉_小肖: //@李明辉-baidu: //@ITNLP: //@徐君_: //@任勇_博士僧:m //@算文解字://@童小军_HD: Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552439670326510,http://api.t.sina.com.cn/2003459381/statuses/3552439670326510,数据挖掘_PHP,孤独de月亮,0,0,2013-03-05 10:38:01, //@Vincentliu6_6: 好东西//@机器学习DeepLearning: 想学hadoop的看过来 //@童小军_HD: Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552439355376823,http://api.t.sina.com.cn/1433048232/statuses/3552439355376823,数据挖掘_PHP,肖镜辉_小肖,3,1,2013-03-05 10:36:45,//@李明辉-baidu: //@ITNLP: //@徐君_: //@任勇_博士僧:m //@算文解字://@童小军_HD: Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552439149838379,http://api.t.sina.com.cn/1995793753/statuses/3552439149838379,数据挖掘_PHP,奶牛君呀奶牛君,0,0,2013-03-05 10:35:58,//@数据挖掘_PHP: 功德无量，谢！//@Cloga在路上: //@卢二_UX:这个不支持，更待何时。[good]//@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552438872990779,http://api.t.sina.com.cn/1686594124/statuses/3552438872990779,数据挖掘_PHP,Eson-wen,0,0,2013-03-05 10:34:51,[good]
'3552438759735275,http://api.t.sina.com.cn/1896067722/statuses/3552438759735275,数据挖掘_PHP,南航王海峰,0,0,2013-03-05 10:34:24,//@数据挖掘_PHP: 功德无量，谢！//@Cloga在路上: //@卢二_UX:这个不支持，更待何时。[good]//@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552438755437434,http://api.t.sina.com.cn/1672678001/statuses/3552438755437434,数据挖掘_PHP,云的影字,0,0,2013-03-05 10:34:22,[雷锋] //@数据挖掘_PHP:功德无量，谢！ //@Cloga在路上: //@卢二_UX:这个不支持，更待何时。[good] //@童小军_HD:Hadoop视频已经上传到百度网盘,同时视频下载地址已经更新到 EasyHadoop技术大学 页面。 http://t.cn/zY8JjWq
'3552437627439649,http://api.t.sina.com.cn/2367980763/statuses/3552437627439649,数据挖掘_PHP,ICT_Migrant_Worker,0,1,2013-03-05 10:29:53,谢。 //@中国云计算论坛: 分享：Hadoop视频地址： http://t.cn/zY8JjWq //@中国云计算论坛: 谢谢！好东西，不容错过！@云创存储 @专注云计算
'3552436822065773,http://api.t.sina.com.cn/1727616175/statuses/3552436822065773,数据挖掘_PHP,鲁汉V,0,0,2013-03-05 10:26:42,//@中国云计算论坛: 分享：Hadoop视频地址： http://t.cn/zY8JjWq //@中国云计算论坛: 谢谢！好东西，不容错过！@云创存储 @专注云计算
